揹包	背包
屏幕扭曲效果	畫面扭曲效果
反胃状态效果和下界传送门所使用的屏幕扭曲效果的强度。\n值较低时，反胃的扭曲效果会被一层绿色的视觉效果替代。	噁心狀態效果和地獄傳送門畫面扭曲的強度。\n數值較低時，噁心效果將被一層綠色的視覺效果取代。
鼠标灵敏度	靈敏度
超高速！！！	超高速！！！
*哈欠*	*哈欠*
显示音乐弹窗	顯示音樂提示
当有歌曲开始播放时显示弹窗。歌曲正在播放时，会在游戏暂停菜单中持续显示同一弹窗。	當歌曲開始播放時會顯示提示。歌曲播放時，遊戲中的暫停選單也會持續顯示相同的提示。
隐藏式字幕	顯示字幕
为游戏中播放的声音启用字幕。	為遊戲中播放的聲音啟用字幕。
模拟距离	模擬距離
自定义皮肤…	外觀自訂...
自定义皮肤	外觀自訂
音乐和声音…	音樂和音效...
音乐和声音选项	音樂和音效選項
疾跑间隔	跑步時間間隔
双击前进键激活疾跑的最大时间间隔，以刻为单位。	按兩下前進鍵開始跑步的最大時間間隔，以刻為單位。
遥测数据…	遙測資料...
数据收集	資料收集
“%s”仅包含必要数据。\n“%s”包含可选数据和必要数据。	「%s」只包含必要資料。\n「%s」包含可選資料和必要資料。
遥测已禁用。	遙測資料已停用。
选项	選項
触屏模式	觸控模式
视频设置…	顯示設定...
视频设置	顯示設定
视角摇晃	走路晃動
垂直同步	垂直同步
Minecraft已耗尽内存。\n\n原因可能是游戏存在漏洞，或分配给Java虚拟机的内存过少。\n\n为避免世界损坏，当前游戏已退出。我们已尝试腾出内存，让你可以回到主菜单并继续游戏，但这不一定奏效。\n\n如果你再次看见此消息，请重启游戏。	Minecraft 記憶體不足。\n\n可能是由於遊戲錯誤，或配置給 Java 虛擬機器的記憶體不足。\n\n為防止世界損毀，已結束目前遊戲。我們已嘗試釋放記憶體，讓您返回主選單並繼續遊玩，但這個方法也可能無法解決問題。\n\n如果您再次看到此訊息，請重新啟動遊戲。
内存溢出！	記憶體不足！
可用	可用
复制包失败	檔案複製失敗
你确定要将这些包添加进Minecraft中吗？	您確定要將下列檔案新增至 Minecraft 嗎？
将文件拖放到这个窗口内来添加包	直接拖曳至此視窗以新增檔案
以下项目不是有效的包，未能执行复制操作：\n %s	下列項目不是有效的資源或資料包，因此未能執行複製操作：\n %s
所添加的内容不是包	加入的項目不是資源或資料包
（请将包放在这里）	（請將檔案置於此處）
不兼容	不相容
这个包是为更新的Minecraft版本所打造的，在此版本可能不会正常工作。	這是為新版本的 Minecraft 所設計，可能無法正確運作。
这个包是为更旧的Minecraft版本所打造的，在此版本可能不会正常工作。	這是為舊版本的 Minecraft 所設計，可能無法正確運作。
你确定要加载此包吗？	您確定要載入此檔案？
这个包已损坏，或是为未知的Minecraft版本所打造的，在此版本可能不会正常工作。	這個資源或資料包已損壞，或為未知版本的 Minecraft 所製作，可能無法正常運作。
（适用于新版本的Minecraft）	（為 Minecraft 較新版本製作）
（适用于旧版本的Minecraft）	（為 Minecraft 較舊版本製作）
（已损坏或不兼容）	（已損毀或不相容）
打开包文件夹	開啟資料夾
已选	已選擇
内置	內建
功能	功能
本地	本機
服务器	伺服器
%s×%s	%s×%s
Kristoffer Zetterstrand	Kristoffer Zetterstrand
Albanian	Albanian
de_aztec	de_aztec
Backyard	Backyard
Sarah Boeving	Sarah Boeving
Baroque	Baroque
Target Successfully Bombed	Target Successfully Bombed
Bouquet	Bouquet
Skull On Fire	Skull On Fire
Bust	Bust
Cavebird	Cavebird
Changing	Changing
Cotán	Cotán
Bonjour Monsieur Courbet	Bonjour Monsieur Courbet
Creebet	Creebet
Dennis	Dennis
Kong	Kong
Mojang	Mojang
Earth	Earth
Endboss	Endboss
Fern	Fern
Fighters	Fighters
Finding	Finding
Fire	Fire
Graham	Graham
Humble	Humble
Kebab med tre pepperoni	Kebab med tre pepperoni
Lowmist	Lowmist
Match	Match
Meditative	Meditative
Orb	Orb
Owlemons	Owlemons
Passage	Passage
Pigscene	Pigscene
Paradisträd	Paradisträd
Pointer	Pointer
Pond	Pond
The Pool	The Pool
Prairie Ride	Prairie Ride
Seaside	Seaside
Mortal Coil	Mortal Coil
Skull and Roses	Skull and Roses
The Stage Is Set	The Stage Is Set
Sunflowers	Sunflowers
sunset_dense	sunset_dense
Tides	Tides
Unpacked	Unpacked
The void	The void
Wanderer	Wanderer
Wasteland	Wasteland
Water	Water
Wind	Wind
Wither	Wither
随机样式	隨機樣式
应为布尔型	應為布林值
无效的布尔型数据，应为“true”或“false”却出现了“%s”	無效的布林值，應為 'true' 或 'false' 但出現了 '%s'
应为双精度浮点型	應為倍精度浮點數
无效的双精度浮点型数据“%s”	無效的倍精度浮點數 '%s'
缺少“%s”	應為 '%s'
应为浮点型	應為單精度浮點數
无效的浮点型数据“%s”	無效的單精度浮點數 '%s'
应为整型	應為整數
无效的整型数据“%s”	無效的整數 '%s'
应为长整型	應為長整數
无效的长整型数据“%s”	無效的長整數 '%s'
引号内的字符串包含无效的转义序列“\%s”	引號字串內的跳脫序列 '\%s' 無效
字符串引号不成对	字串未以引號作結
字符串开端应有引号	字串應以引號開首
无法解析粒子选项：%s	無法剖析粒子選項：%s
未知的粒子：%s	未知的粒子：%s
需要一个实体来执行此命令	需要一個實體來執行這條指令
需要一名玩家来执行此命令	需要一個玩家來執行這條指令
当生效后：	使用時：
未知的谓词：%s	未知的述詞：%s
无法找到具有指定标识符的世界	無法找到具有指定識別碼的世界
权限不足，无法连接至此Realm	權限不足，無法連線至此 Realm
无法快速进入游戏	無法快速進入遊戲
澳大利亚新南威尔士州	澳洲新南威爾斯州
澳大利亚维多利亚州	澳洲維多利亞州
巴西	巴西
印度	印度
美国艾奥瓦州	美國愛荷華州
香港	香港
美国弗吉尼亚州	美國維吉尼亞州
美国北卡罗来纳州	美國北卡羅萊納州
法国	法國
日本东部	日本東部
日本西部	日本西部
韩国	南韓
美国伊利诺伊州	美國伊利諾州
爱尔兰	愛爾蘭
美国得克萨斯州	美國德克薩斯州
新加坡	新加坡
瑞典	瑞典
阿联酋	阿拉伯聯合大公國（阿聯）
英国南部	英國南部
美国犹他州	美國猶他州
荷兰	荷蘭
美国加利福尼亚州	美國加利福尼亞州
美国华盛顿州	美國華盛頓州
自动（取决于Realm所有者的延迟）	自動（取決於 Realms 擁有者的網路延遲）
自动（取决于首个加入会话的玩家）	自動（取決於首位加入遊戲的玩家）
快照当前不支持Realms	快照目前不支援 Realms
未知的配方：%s	未知的配方：%s
请检查你的配方书	查看您的配方手冊
新配方已解锁！	已解鎖新的合成配方！
正在播放：%s	正在播放：%s
尝试恢复	嘗試恢復
无法从之前的状态恢复。	無法從之前的狀態恢復。
恢复成功！	恢復成功！
恢复已完成	恢復完成
缺失文件	缺少檔案
没有问题	沒有問題
尝试读取世界文件夹“%s”时出现以下问题。\n可以尝试从先前的状态恢复此世界，也可以在漏洞追踪器上报告此问题。	嘗試讀取世界資料夾「%s」時發生下列問題。\n可以嘗試從較舊的狀態恢復這個世界，也可以在錯誤追蹤器上回報此問題。
没有可以恢复的状态	沒有可以恢復的狀態
尝试恢复世界中…	正在嘗試恢復世界...
%s的状态：	%s 的狀態：
加载世界失败	無法載入世界
加载世界摘要失败	無法載入世界簡介
检测到损坏的资产	偵測到損壞的資源檔案
重载资源失败	資源重新載入失敗
Programmer Art	Programmer Art
检测到资源包错误	偵測到資源包錯誤
世界指定资源包	世界指定資源
选择资源包	選擇資源包
Minecraft的默认观感	Minecraft 預設的視覺與環境效果
正在下载资源包	正在下載資源包
下载文件中（%s MB）…	正在下載檔案 (%s MB)...
正在发送请求…	正在傳送請求...
无法保存截图：%s	無法儲存螢幕擷取畫面：%s
已将截图保存为%s	已儲存螢幕擷取畫面為 %s
添加服务器	新增伺服器
Minecraft服务器	Minecraft 伺服器
你确定要删除此服务器吗？	你確定要移除這個伺服器嗎？
“%s”将会永久消失！（真的很久！）	「%s」將會永遠消失！（非常久！）
直接连接	直接連線
编辑	編輯
（隐藏）	（隱藏）
刷新	重新整理
加入服务器	加入伺服器
允许作弊	允許作弊
例如/gamemode、/experience等命令	例如 /gamemode 、 /experience 等指令
允许命令	允許指令
清除缓存数据	清除快取資料
创建备份并加载	建立備份後載入
我知道我在做什么！	我知道我在做什麼！
自定义世界已不受支持	自訂世界已不受支援
不支持对存档版本进行降级	不支援世界降級功能
使用“实验性设置”的世界不受支持	使用實驗性設定的世界不受支援
你真的想加载此世界吗？	您確定要載入這個世界嗎？
不巧，我们在这个版本的Minecraft中不支持自定义世界。我们可以继续加载这个世界并保持原状，但任何新生成的地形将不再被自定义。抱歉给你带来不便。	很遺憾我們不支援這個版本的 Minecraft 使用自訂世界。我們依然能完整載入這個世界，但是任何新生成的地形將不沿用自訂的設定。很抱歉造成您的不便！
这个世界上次是在%s版本中打开的，你正在使用%s版本。降低世界的游戏版本可能会导致存档损坏，我们无法保证它可以被加载和运行。如果你仍要继续，请备份该存档。	這個世界最後一次遊玩的版本為 %s，您現在的版本為 %s。降低世界版本可能導致資料毀損，我們無法保證世界能讀取運作。若您仍要繼續，請先進行備份。
这个世界使用的实验性设置可能会随时停止运作。我们无法保证这些设置将来能够加载或运作。务必谨慎！	這個世界使用了隨時可能失效的實驗性設定。我們無法保證它能正常載入或運作。請務必小心謹慎！
这个世界上次是在%s版本中打开的，你正在使用%s版本。请备份你的世界，以防世界崩溃。	這個世界最後遊玩的版本為 %s，您的當前版本為 %s。請先備份以避免損壞您的世界。
奖励箱	獎勵箱
作弊	允許作弊
命令	指令
必须进行转换！	必須被轉換！
此世界必须在较旧版本（比如1.6.4）中打开，以便安全转换	此世界必須先以較舊的版本（如 1.6.4）開啟後才能安全轉換
创建新的世界	建立新的世界
数据包	資料包
读取世界数据中…	正在讀取世界資料...
你确定要删除这个世界吗？	你確定要刪除這個世界嗎？
删除世界失败	無法刪除世界
进行备份	進行備份
已备份：%s	已備份：%s
备份失败	備份失敗
打开备份文件夹	開啟備份資料夾
大小：%s MB	檔案大小：%s MB
导出世界生成设置	匯出世界生成設定
导出失败	匯出失敗
导出成功	已匯出
打开世界文件夹	開啟世界資料夾
重置图标	重設圖示
编辑世界	編輯世界
世界生成器的种子	世界生成種子碼
实验性	實驗性
详细信息	詳細資訊
需要的实验性功能：%s	需要實驗性功能：%s
实验性功能需求	實驗性功能需求
请注意！\n此配置需要使用仍在开发中的功能。你的世界可能会崩溃、损坏或不兼容未来的更新。	請注意！\n此設定需要使用仍在開發中的功能。您的世界可能會崩潰、損壞或在未來的版本中無法運作。
实验性功能警告	實驗性功能警告
实验性内容	實驗性內容
实验性内容，即仍在开发的新功能。请小心，启用这些内容有损坏风险。已开启的实验性内容在创建世界后将无法再关闭。	實驗性內容為可能在未來加入的新功能。請小心它們可能造成損壞。已開啟的實驗性內容無法在建立世界後關閉。
试图加载来自未来版本的世界时发生错误。这本就并非万无一失，很抱歉没能成功。	試圖載入較新版本的世界時發生錯誤。這項操作原本就有其風險，很抱歉無法成功載入。
出错了！	發生錯誤！
与生存模式相同，但无法放置或破坏方块。	與生存模式相同，但不能放置或移除方塊。
与生存模式相同，但无法	與生存模式相同，但無法
放置或者移除方块	增加或移除方塊
创造	創造
无拘无束地探索创造。可以飞行，材料取之不尽，且不受怪物伤害。	沒有限制地創造、建設與探索。你能夠飛行，使用無窮的材料，也不會被怪物傷害。
无限的资源、自由地飞翔	無限資源、自由飛行，
并且能够瞬间破坏方块	而且能夠瞬間破壞方塊
难度锁定为“困难”的生存模式，且死亡后无法重生。	難易度鎖定在「困難」的生存模式。死亡後無法重生。
难度锁定在困难的生存模式	與生存模式相同，但是鎖定在
且只有一条生命	最高難度，而且只有一次生命
旁观	旁觀者
你可以旁观，但不能互动。	你可以觀看但是不能夠觸碰。
你可以旁观，但不能互动	你可以觀看但是不可觸摸
生存	生存
探索未知的世界，尽情建造、收集、合成并与怪物战斗。	探索神秘的世界，盡情建造、收集、合成，並與怪物戰鬥。
探索世界、收集资源、合成道具、	搜索資源、合成、提升
提高等级、补充体力和生命值	等級、生命值和飢餓值
游戏规则	遊戲規則
导入设置	匯入設定
导入设置时出错	匯入設定時發生錯誤
选择设置文件（.json）	選擇設定檔 (.json)
此世界无法在此版本中打开。\n最后一次打开此世界的版本是%s。	這個世界無法在此版本中開啟。\n上次於版本 %s 開啟。
不兼容的版本：%s	不相容的版本：%s
此世界在不兼容的版本上创建，故无法打开。	這個世界使用不相容的版本建立，無法開啟。
创建于不兼容的版本	以不相容的版本建立
无法读取或访问游戏世界存档所在的文件夹！	無法載入或存取遊戲世界存檔所在的資料夾！
加载世界列表中	正在載入世界清單
被另一个正在运行的Minecraft实例锁定	被另一個正在執行的 Minecraft 鎖定
生成结构	生成結構
村庄、沉船等	例如村莊、沉船等等
更多世界选项…	更多世界選項...
重建	重新建立
自定义世界在这个版本的Minecraft中已不受支持。我们可以尝试用同样的种子与选项重建它，但任何自定义的地形都会丢失。抱歉给你带来不便。	這個版本的 Minecraft 已不再支援自訂世界。我們可以試著利用相同的種子碼與屬性重新建立，但任何自訂地形將會遺失。很抱歉為您帶來不便！
尝试重建世界时出错。	試圖重新建立世界時出現了一些問題。
准备资源中…	正在準備資源...
将会保存于：	將被儲存於：
搜索世界	搜尋世界
留空以生成随机种子	若不填則隨機生成種子碼
进入选中的世界	進入所選的世界
存档文件夹：%s	存檔資料夾：%s
选择世界	選擇世界
世界是在更新的版本中被保存的，	世界是以較新的版本儲存，
加载这个世界可能会产生问题！	載入這個世界可能會導致出現問題！
在这个快照中加载它之前，	以目前版本載入之前
不要忘了备份这个世界！	別忘了先備份這個世界。
无法加载世界	無法載入世界
版本：	版本：
仍然加载	依然載入
此世界上次是在%s版本中打开的，在此版本中加载可能会导致数据损坏！	這個世界最後遊玩的版本為 %s，使用目前版本載入可能會導致損壞！
一些使用中的功能已被淘汰并会在将来失效。你确定要继续吗？	有些功能已停止支援，將在未來失效。您確定要繼續嗎？
警告！这些设置使用了已淘汰的功能	警告！這些設定使用了停止支援的功能
这些设置是实验性的，将来可能停止运作。你确定要继续吗？	這些實驗性設定將來可能會失效。您確定要繼續嗎？
警告！这些设置使用了实验性功能	警告！這些設定使用了實驗性功能
设备上的存储空间不足。\n运行游戏时磁盘空间不足可能会导致世界损坏。	裝置儲存空間不足。\n在磁碟空間不足時遊玩，可能會導致世界損毀。
警告！磁盘空间不足！	警告！磁碟空間不足！
编辑告示牌消息	編輯告示牌文字
已入睡玩家的数量不足以跳过夜晚	入睡的玩家數目不足以跳過這個夜晚
%s/%s名玩家已入睡	%s/%s 的玩家正在睡覺
今夜将在睡梦中度过	正在睡夢中度過今晚
只允许有单个槽位，实际为“%s”	僅接受單一欄位，當前值 '%s'
未知的槽位“%s”	未知的欄位 '%s'
键不能为空	鍵值不能為空
应为二进制数	應為二進位數字
应为十进制数	應為十進位數字
应为浮点数	應為浮點數
字符字面量长度应为%s	字元字面值長度應為 %s
应为十六进制数	應為十六進位數字
应为整数	應為整數
应为非负数	應為非負數
应为数字或布尔型	應為數字或布林值
应为表示有效UUID的字符串	應為表示有效 UUID 的字串
应为有效的无引号字符串	應為有效的無引號字串
不允许使用非有限数的数值	不允許使用非有限數的數值
无效的数组元素类型	無效的陣列元素類型
无效的Unicode字符名称	無效的 Unicode 字元名稱
无效的Unicode字符码位：%s	無效的 Unicode 字元編碼：%s
无效的字符串内容	無效的字串內容
无引号字符串不能以数字0-9、+或-开头	無引號字串不能以數字 0-9、+ 或 - 開頭
十进制数不能以0开头	十進位數字不能以 0 開頭
不存在的操作：%s	不存在的操作：%s
解析数字失败：%s	無法剖析數字：%s
数字的开头和结尾不允许使用下划线字符	數字的開頭和結尾不允許使用底線字元
环境	環境音效／環境
方块	方塊
敌对生物	敵對生物
主音量	主音量
音乐	音樂
友好生物	友好生物
唱片机/音符盒	唱片機／音階盒
用户界面	UI
复述功能/语音	朗讀功能／語音
天气	天氣
关闭菜单	關閉選單
按下一个键来选择命令，再按一次来使用它。	按下任意鍵以選擇指令，再按一次該按鍵以使用它
传送到队伍成员	傳送至隊伍成員
选择一支队伍作为传送目标	選擇一個隊伍作為傳送目標
传送到玩家	傳送至玩家
选择一名玩家作为传送目标	選擇一位玩家作為傳送目標
通用	一般
繁殖动物次数	動物繁殖數
鞘翅滑行距离	鞘翅飛行距離
鸣钟次数	敲鐘次數
坐船移动距离	坐船航行距離
清洗盔甲次数	清洗的盔甲數量
清洗旗帜次数	清洗的旗幟數量
潜影盒清洗次数	界伏盒清洗次數
已攀爬距离	攀爬距離
潜行距离	蹲行距離
吸收的伤害	吸收的傷害量
盾牌抵挡的伤害	盾牌抵擋的傷害總量
造成伤害	造成傷害總量
造成伤害（被吸收）	造成傷害（被吸收）
造成伤害（被抵挡）	造成傷害（被抵銷）
抵挡的伤害	抵銷的傷害量
受到伤害	承受傷害總量
死亡次数	死亡次數
物品掉落	丟棄物品數量
吃掉的蛋糕片数	已吃掉的蛋糕片數量
物品附魔次数	物品附魔數量
摔落高度	掉落高度
炼药锅装水次数	鍋釜填滿次數
捕鱼数	捕獲魚量
飞行距离	飛行距離
骑乘快乐恶魂移动距离	騎快樂幽靈移動距離
骑马移动距离	騎馬移動距離
搜查发射器次数	發射器搜索次數
搜查投掷器次数	投擲器搜索次數
搜查漏斗次数	漏斗搜索次數
与铁砧交互次数	鐵砧使用次數
与信标交互次数	烽火台使用次數
与高炉交互次数	高爐使用次數
与酿造台交互次数	釀造台使用次數
与营火交互次数	營火使用次數
与制图台交互次数	製圖台使用次數
与工作台交互次数	工作台使用次數
与熔炉交互次数	熔爐使用次數
与砂轮交互次数	砂輪使用次數
与讲台交互次数	講台使用次數
与织布机交互次数	紡織機使用次數
与锻造台交互次数	鍛造台使用次數
与烟熏炉交互次数	煙燻爐使用次數
与切石机交互次数	切石機使用次數
跳跃次数	跳躍次數
游戏退出次数	離開遊戲次數
坐矿车移动距离	乘坐礦車距離
生物击杀数	生物擊殺數
木桶打开次数	木桶開啟次數
箱子打开次数	儲物箱開啟次數
末影箱打开次数	終界箱開啟次數
潜影盒打开次数	界伏盒開啟次數
骑猪移动距离	騎豬移動距離
音符盒播放次数	音階盒演奏次數
播放唱片数	唱片播放
游戏时长	遊戲時間
玩家击杀数	玩家擊殺數
盆栽种植数	盆栽放置數量
触发袭击次数	突襲觸發次數
袭击胜利次数	擊敗突襲次數
躺在床上的次数	睡覺次數
潜行时间	潛行時間
疾跑距离	跑步距離
骑炽足兽移动距离	騎熾足獸移動距離
游泳距离	游泳距離
村民交互次数	與村民對話次數
击中标靶次数	擊中標靶次數
自上次死亡	距離上次死亡
自上次入眠	距離上次睡覺
世界打开时间	世界開啟時間
村民交易次数	與村民交易次數
陷阱箱触发次数	陷阱儲物箱觸發次數
音符盒调音次数	音階盒調音次數
从炼药锅取水次数	從鍋釜取水次數
水面行走距离	水面上的行走距離
行走距离	行走距離
水下行走距离	水面下的行走距離
损坏次数	損壞次數
合成次数	合成次數
丢弃个数	丟棄數量
你杀死了%s个%s	你殺死過 %s 隻%s
你从来没有杀死过%s	你沒有殺死過%s
%s杀死了你%s次	你被%s殺死過 %s 次
你从来没有被%s杀死过	你沒有被%s殺死過
开采次数	挖掘次數
拾起个数	拾起數量
使用次数	使用次數
探测	偵測
加载	載入
自定义数据标签名	自訂資料標籤名稱
探测结构大小和位置：	偵測結構的大小與位置：
角落：%s	角落：%s
数据：%s	資料：%s
加载：%s	載入：%s
保存：%s	儲存：%s
包括实体：	包含實體：
结构完整性及种子	結構完整度及種子碼
结构完整性	結構完整性
结构种子	結構種子碼
无效的结构名“%s”	無效的結構名稱 '%s'
不存在名为“%s”的结构 	沒有名為 '%s' 的結構
结构“%s”的加载位置已就绪	結構 '%s' 的位置已準備就緒
成功从“%s”中加载结构	已從 '%s' 載入結構
角落模式	角落
数据模式	資料
加载模式	載入
保存模式	儲存
角落模式 — 位置和大小标记	角落模式 ─ 位置及大小記號
数据模式 — 游戏逻辑标记	資料模式 ─ 遊戲邏輯記號
加载模式 — 从文件中加载	載入模式 ─ 從檔案載入
保存模式 — 写入文件	儲存模式 ─ 寫入檔案
相对位置	相對位置
相对X坐标	X 軸相對位置
相对Y坐标	Y 軸相對位置
相对Z坐标	Z 軸相對位置
无法保存结构“%s”	無法儲存結構 '%s'
成功将结构保存为“%s”	已將結構儲存為 '%s'
显示隐形方块：	顯示隱形方塊：
显示边框：	顯示定界框：
结构大小	結構大小
结构X轴大小	X 軸結構大小
结构Y轴大小	Y 軸結構大小
结构Z轴大小	Z 軸結構大小
无法检测结构大小。请放置与结构名称对应的角落结构方块	無法偵測結構大小。請添加與結構名稱對應的角落
“%s”的大小已成功检测	已成功偵測 '%s' 的大小
严格放置：	嚴格放置：
结构名称	結構名稱
怪异的噪声	毛骨悚然的聲響
紫水晶：叮铃	紫水晶叮噹作響
紫水晶：共振	紫水晶共振
铁砧：被毁	鐵砧被破壞
铁砧：着陆	鐵砧落地
铁砧：使用	使用鐵砧
木桶：关闭	木桶關閉
木桶：打开	木桶開啟
信标：激活	烽火台啟動
信标：嗡嗡作响	烽火台嗡嗡作響
信标：失效	烽火台關閉
信标：选择效果	選取烽火台效果
蜂蜜：滴落	蜂蜜滴落
蜜蜂：入巢	蜜蜂進入蜂箱
蜜蜂：离巢	蜜蜂離開蜂箱
剪刀：刮削	剪刀刮削
蜜蜂：工作	蜜蜂工作
钟：回响	鐘鳴
钟：响起	鐘聲
垂滴叶：折下	懸葉草下垂
垂滴叶：升起	懸葉草回彈
高炉：噼啪作响	高爐劈啪聲
酿造台：冒泡	釀造台冒泡聲
气泡：破裂	氣泡破裂
气泡：上浮	氣泡上浮
气泡：飞升	氣泡推升
气泡：旋转	氣泡翻滾
气泡：骤降	氣泡捲入
按钮：咔哒	按鈕咔嗒聲
蛋糕：吧唧	蛋糕擠壓聲
营火：噼啪作响	營火劈啪聲
蜡烛：噼啪作响	蠟燭劈啪聲
蜡烛：熄灭	蠟燭熄滅聲
箱子：关闭	儲物箱關閉
箱子：锁上	儲物箱鎖上
箱子：开启	儲物箱開啟
紫颂花：凋零	歌萊花凋謝
紫颂花：生长	歌萊花生長
比较器：模式变更	比較器咔嗒聲
堆肥桶：清空	清空堆肥箱
堆肥桶：填充	填入堆肥箱
堆肥桶：堆肥	堆肥箱堆肥
潮涌核心：激活	海靈核心啟動
潮涌核心：涌动	海靈核心脈動
潮涌核心：攻击	海靈核心攻擊
潮涌核心：失效	海靈核心關閉
铜灯：熄灭	銅燈熄滅
铜灯：亮起	銅燈亮起
活板门：关闭	地板門關閉
活板门：打开	地板門開啟
合成器：合成	合成器合成物品
合成器：合成失败	合成器合成失敗
嘎枝之心：咕哝	嘎枝之心咕噥聲
嘎枝之心：苏醒	嘎枝之心甦醒
干枯声	乾燥聲
饰纹陶罐：装入	飾紋陶罐被填充
饰纹陶罐：晃动	飾紋陶罐晃動
饰纹陶罐：碎裂	飾紋陶罐碎裂
物品：被射出	物品射出
发射器：发射失败	發射器發射失敗
门：嘎吱作响	門嘎吱作響
干燥声	乾燥聲
失水恶魂：补水	乾癟幽靈補水聲
失水恶魂：浸泡	乾癟幽靈浸泡聲
失水恶魂：恢复	乾癟幽靈恢復
风声	風聲
附魔台：使用	使用附魔台
末地传送门：开启	終界傳送門開啟
末影之眼：嵌入	嵌上終界之眼
眼眸花：闭合	擬目花閉合
眼眸花：沙沙作响	擬目花沙沙聲
眼眸花：张开	擬目花張開
栅栏门：嘎吱作响	柵欄門嘎吱作響
火：噼啪作响	火劈啪聲
火：熄灭	火焰熄滅聲
萤火虫：嗡嗡	螢火蟲嗡嗡聲
蝌蚪：孵化	蝌蚪孵化
熔炉：噼啪作响	熔爐劈啪聲
方块：被破坏	方塊破壞聲
某物：摔落到方块上	某物掉落在方塊上
脚步声	腳步聲
方块：损坏中	正在破壞方塊
方块：被放置	方塊放置聲
砂轮：使用	使用砂輪
植物：被修剪	修剪植物
告示牌：晃动	告示牌晃動
从蜂蜜块滑下	從蜂蜜塊上滑下
熔岩：迸裂	熔岩冒泡聲
熔岩：嘶嘶声	熔岩滋滋聲
拉杆：拉动	控制桿咔嗒聲
音符盒：播放	播放音階盒
活塞：移动	活塞被推動
熔岩：滴落	熔岩滴落
熔岩：滴入炼药锅	熔岩滴入鍋釜
水：滴落	水滴落
水：滴入炼药锅	水滴入鍋釜
钟乳石：塌落	鐘乳石砸落
传送门：呼啸	傳送門颼颼聲
传送门：噪声消散	傳送門噪音消退
传送门：噪声渐响	傳送門噪音增強
压力板：咔哒	壓力板咔嗒聲
剪刀：雕刻	剪刀切割
红石火把：熄灭	紅石火把嘶嘶聲
重生锚：呼啸	重生錨颼颼聲
重生锚：充能	重生錨被充能
重生锚：耗能	重生錨消耗
重生锚：设置出生点	重生錨設定重生點
沙沙声	沙聲
幽匿块：冒泡	伏聆冒出氣泡
幽匿块：蔓延	伏聆蔓延
幽匿催发体：催发	伏聆觸媒催發
幽匿感测体：颤动	伏聆振測器振動
幽匿感测体：停息	伏聆振測器停止振動
幽匿尖啸体：尖啸	伏聆嘯口尖嘯
展示架：激活	展示架啟動
展示架：取消激活	展示架復原
物品：交换	交換物品
物品：放置	放置物品
潜影盒：关闭	界伏盒關閉
潜影盒：开启	界伏盒開啟
锻造台：使用	使用鍛造台
烟熏炉：烟熏	煙燻爐冒煙
嗅探兽蛋：裂开	嗅探獸蛋破裂
嗅探兽蛋：孵化	嗅探獸蛋孵化
嗅探兽：下蛋	嗅探獸下蛋
海绵：吸水	海綿吸水
浆果：弹出	漿果彈出
活板门：嘎吱作响	地板門嘎吱作響
不祥之物：准备	不祥物品準備聲
试炼刷怪笼：噼啪作响	試煉生怪磚劈啪聲
不祥试炼刷怪笼：噼啪作响	不祥劈啪聲
试炼刷怪笼：不祥涌动	試煉生怪磚被不祥壟罩
试炼刷怪笼：关闭	試煉生怪磚關閉
试炼刷怪笼：充能	試煉生怪磚充能
试炼刷怪笼：喷出物品	試煉生怪磚彈出物品
试炼刷怪笼：开启	試煉生怪磚開啟
不祥之物：掉落	不祥物品掉落聲
不祥之物：出现	不祥物品出現聲
试炼刷怪笼：生成生物	試煉生怪磚生成生物
绊线：连接	絆線連接
绊线：咔哒	絆線咔嗒聲
绊线：断开	絆線分離
宝库：燃起	寶庫燃起
宝库：噼啪作响	寶庫劈啪聲
宝库：关闭	寶庫關閉
宝库：熄灭	寶庫熄滅聲
宝库：喷出物品	寶庫彈出物品
宝库：解锁	寶庫解鎖
宝库：解锁失败	寶庫拒絕物品
宝库：打开	寶庫開啟
宝库：拒绝已奖励玩家	寶庫拒絕玩家
水：流动	流水聲
海绵：烘干	海綿烘乾
书：被放入	放置書
附魔书：被放入	放置附魔書
书：被取出	取走書
附魔书：被取出	取走附魔書
荆棘：反刺	尖刺刺傷聲
悦灵：搜寻	悅靈搜尋
悦灵：渴求	悅靈渴望
悦灵：死亡	悅靈死亡
悦灵：受伤	悅靈受傷
悦灵：嬉笑	悅靈咯咯笑
悦灵：愉悦	悅靈喜悅
悦灵：投掷	悅靈投擲
犰狳：呼噜	犰狳呼嚕聲
鳞甲：被刷落	鱗甲刷落聲
犰狳：死亡	犰狳死亡
犰狳：进食	犰狳進食
犰狳：受伤	犰狳受傷
犰狳：自卫	犰狳保護自己
犰狳：着陆	犰狳落地
犰狳：窥视	犰狳窺視
犰狳：蜷缩	犰狳蜷縮
犰狳：脱落鳞甲	犰狳掉落鱗甲
犰狳：伸展	犰狳伸展
某物：着地	物體掉落
箭：击中	箭矢擊中聲
箭：击中玩家	擊中玩家
箭：被射出	射出箭矢
美西螈：攻击	六角恐龍攻擊
美西螈：死亡	六角恐龍死亡
美西螈：受伤	六角恐龍受傷
美西螈：啾啾	六角恐龍鳴叫
美西螈：溅起水花	六角恐龍濺起水花
美西螈：游泳	六角恐龍游泳
